report_id,report_text,report_type,site,department,date,hazard_type,work_type,precursor_categories,risk_level,missing_controls,language,is_synthetic,label_source
SYN-0023,Technician repaired high-pressure valve without depressurizing line. Safety valve was isolated and no bypass procedure was followed.,unsafe_condition,Margherita Depot,Logistics,2026-04-06,chemical,working at height,chemical,HIGH,Chemical goggles; Respiratory protection,en,true,synthetic
SYN-0024,Technician entered pump station without gas monitoring. H2S alarm was disabled for maintenance. No standby person was present outside the confined space.,unsafe_condition,Nazira Oil Field,Engineering,2026-06-03,confined_space,drilling,confined_space,HIGH,Gas testing; Confined space permit,en,true,synthetic
SYN-0025,Welder used damaged electrode holder. Insulation was cracked and exposed live parts. Earth lead was corroded and loosely connected.,unsafe_act,Dibrugarh Terminal,HSE,2025-07-03,chemical,excavation,chemical,MEDIUM,Chemical goggles; Ventilation system,en,true,synthetic
SYN-0026,Rigger attached sling to unsecured load on elevated platform. No tagline was used. Wind speed exceeded crane operation limits.,near_miss,Jorhat Pump Station,Production,2024-04-10,loto,drilling,loto,HIGH,Lockout/tagout devices; Group lockout box,en,true,synthetic
SYN-0027,Daily pre-shift briefing was not documented for one crew. Supervisor completed retroactive documentation. Template was updated.,unsafe_condition,Jorhat Pump Station,Maintenance,2025-05-07,confined_space,electrical work,confined_space,LOW,Confined space permit; Gas testing,en,true,synthetic
SYN-0028,Worker entered confined space without proper gas testing and without isolation. No permit to work was obtained. The space had not been ventilated and no rescue equipment was on standby.,unsafe_condition,Selenghat Station,Pipeline,2025-03-09,loto,turnaround maintenance,loto,HIGH,Group lockout box; Lockout/tagout devices,en,true,synthetic
SYN-0029,Foreman ordered crane lift over personnel without designated signalman. Load was 2 tons above rated capacity. Outrigger pads were not placed on stable ground.,unsafe_act,Dibrugarh Terminal,Drilling,2024-02-21,fire,well testing,fire,HIGH,Gas-free certificate; Fire extinguisher,en,true,synthetic
SYN-0030,Vehicle horn was not working during pre-use inspection. Vehicle was taken out of service and horn was repaired same day.,unsafe_act,Jorhat Pump Station,Drilling,2026-05-21,ppe,lifting,ppe,LOW,Hard hat; High-visibility vest,en,true,synthetic
SYN-0031,Worker climbed storage tank without secured ladder. Handrails were missing on upper platform. No safety harness was available on site.,near_miss,Jorhat Pump Station,Engineering,2024-09-09,mechanical,well testing,mechanical,HIGH,Machine guarding; Lockout devices,en,true,synthetic
SYN-0032,Electrician bypassed safety interlock on motor control center. Lockout devices were removed without authorization. Start-up warning was not sounded.,unsafe_act,Margherita Depot,Well Services,2025-11-16,pressure,confined space entry,pressure,HIGH,Depressurization procedure; Burst disc,en,true,synthetic
SYN-0033,Worker climbed ladder without maintaining three-point contact. Ladder was not secured at top. Safety boots had worn-out soles.,unsafe_act,Nazira Oil Field,Logistics,2024-01-10,fire,excavation,fire,MEDIUM,Hot work permit; Gas-free certificate,en,true,synthetic
SYN-0034,Worker used compressed air to clean clothing instead of proper cleaning method. Air pressure exceeded 30 PSI limit for cleaning.,unsafe_act,Nazira Oil Field,Maintenance,2026-06-19,fire,electrical work,fire,MEDIUM,Fire extinguisher; Fire watch,en,true,synthetic
SYN-0035,Worker climbed storage tank without secured ladder. Handrails were missing on upper platform. No safety harness was available on site.,near_miss,Margherita Depot,Pipeline,2025-06-25,procedures,drilling,procedures,HIGH,Supervision; Training certification,en,true,synthetic
SYN-0036,Technician repaired high-pressure valve without depressurizing line. Safety valve was isolated and no bypass procedure was followed.,unsafe_act,Jorhat Pump Station,Pipeline,2026-01-30,mechanical,turnaround maintenance,mechanical,HIGH,Energy isolation; Safe work procedure,en,true,synthetic
SYN-0037,Worker performed grinding without face shield. sparks were directed toward flammable material storage area 3 meters away.,near_miss,Nazira Oil Field,HSE,2025-05-15,pressure,pipeline repair,pressure,MEDIUM,Pressure relief valve; Burst disc,en,true,synthetic
SYN-0038,Daily pre-shift briefing was not documented for one crew. Supervisor completed retroactive documentation. Template was updated.,unsafe_condition,Nazira Oil Field,Drilling,2026-02-28,electrical,lifting,electrical,LOW,Energized work permit; LOTO procedure,en,true,synthetic
SYN-0039,Vehicle horn was not working during pre-use inspection. Vehicle was taken out of service and horn was repaired same day.,unsafe_act,Selenghat Station,Drilling,2026-06-23,mechanical,lifting,mechanical,LOW,Machine guarding; Energy isolation,en,true,synthetic
SYN-0040,Forklift was operated with cracked windshield. Operator did not wear seatbelt. Speed limit in warehouse area was exceeded by 5 km/h.,unsafe_condition,Selenghat Station,Maintenance,2025-01-08,electrical,drilling,electrical,MEDIUM,Energized work permit; LOTO procedure,en,true,synthetic
SYN-0041,Safety meeting noted that two workers were not wearing high-visibility vests. Workers corrected immediately. Trend to be monitored.,unsafe_condition,Dibrugarh Terminal,Well Services,2025-09-27,ppe,lifting,ppe,LOW,Safety glasses; Hard hat,en,true,synthetic
SYN-0042,Worker observed incomplete barricade around trench. Additional cones were placed. Competent person verified soil conditions were stable.,unsafe_act,Jorhat Pump Station,Engineering,2026-01-24,electrical,confined space entry,electrical,LOW,Insulated tools; Energized work permit,en,true,synthetic
SYN-0043,Worker observed incomplete barricade around trench. Additional cones were placed. Competent person verified soil conditions were stable.,near_miss,Jorhat Pump Station,Pipeline,2024-04-20,gravity,working at height,gravity,LOW,Fall protection harness; Guard rails,en,true,synthetic
SYN-0044,Worker climbed storage tank without secured ladder. Handrails were missing on upper platform. No safety harness was available on site.,unsafe_act,Selenghat Station,Well Services,2024-08-16,pressure,drilling,pressure,HIGH,Depressurization procedure; Burst disc,en,true,synthetic
SYN-0045,Temporary lighting in work area was insufficient. Dark spots near excavation edge. No reflective markers were placed.,near_miss,Dibrugarh Terminal,Pipeline,2025-06-05,fire,working at height,fire,MEDIUM,Fire extinguisher; Hot work permit,en,true,synthetic
SYN-0046,Worker used damaged gas cylinder without pressure testing. Cylinder was last tested 3 years ago. Valve was leaking and worker was smoking nearby.,unsafe_act,Jorhat Pump Station,Pipeline,2025-09-02,electrical,working at height,electrical,HIGH,Energized work permit; Insulated tools,en,true,synthetic
SYN-0047,Small amount of debris fell from scaffold during dismantle operation. Area was cordoned and debris was cleared. No one was in zone.,near_miss,Margherita Depot,Production,2024-07-13,confined_space,pipeline repair,confined_space,LOW,Gas testing; Rescue plan,en,true,synthetic
SYN-0048,Worker used compressed air to clean clothing instead of proper cleaning method. Air pressure exceeded 30 PSI limit for cleaning.,unsafe_condition,Margherita Depot,HSE,2024-03-12,fire,confined space entry,fire,MEDIUM,Fire extinguisher; Gas-free certificate,en,true,synthetic
SYN-0049,Spill tray under chemical drum was half full. Drum was replaced and tray was emptied. No ground contamination occurred.,unsafe_condition,Nazira Oil Field,Pipeline,2025-02-16,confined_space,pipeline repair,confined_space,LOW,Isolation procedure; Gas testing,en,true,synthetic
SYN-0050,Worker entered restricted area without authorization badge. Access control gate was propped open. Security camera was not operational.,near_miss,Jorhat Pump Station,Pipeline,2026-05-03,confined_space,drilling,confined_space,MEDIUM,Rescue plan; Isolation procedure,en,true,synthetic
SYN-0051,Crane operator lifted personnel in unauthorized basket. Basket was not inspected and had no fall protection. Load path crossed over active roadway.,unsafe_condition,Margherita Depot,Well Services,2025-03-28,loto,electrical work,loto,HIGH,Group lockout box; Energy isolation verification,en,true,synthetic
SYN-0052,Driller climbed derrick without fall arrest harness. Safety line was frayed and not inspected. Worker was at 15 meters height during strong wind conditions.,unsafe_act,Nazira Oil Field,Well Services,2025-11-19,mechanical,pipeline repair,mechanical,HIGH,Energy isolation; Machine guarding,en,true,synthetic
SYN-0053,Worker entered confined space without proper gas testing and without isolation. No permit to work was obtained. The space had not been ventilated and no rescue equipment was on standby.,unsafe_act,Jorhat Pump Station,Logistics,2025-04-11,procedures,working at height,procedures,HIGH,Job safety analysis; Supervision,en,true,synthetic
SYN-0054,Operator noticed unusual vibration in pump during startup. Equipment was shut down per procedure. Maintenance team inspected and cleared.,near_miss,Selenghat Station,HSE,2025-12-05,gravity,drilling,gravity,LOW,Fall protection harness; Guard rails,en,true,synthetic
SYN-0055,Crane operator lifted personnel in unauthorized basket. Basket was not inspected and had no fall protection. Load path crossed over active roadway.,near_miss,Margherita Depot,Logistics,2024-09-12,electrical,welding,electrical,HIGH,Insulated tools; LOTO procedure,en,true,synthetic
SYN-0056,Safety meeting noted that two workers were not wearing high-visibility vests. Workers corrected immediately. Trend to be monitored.,near_miss,Margherita Depot,Well Services,2026-04-14,loto,turnaround maintenance,loto,LOW,Group lockout box; Energy isolation verification,en,true,synthetic
SYN-0057,Forklift was operated with cracked windshield. Operator did not wear seatbelt. Speed limit in warehouse area was exceeded by 5 km/h.,unsafe_act,Selenghat Station,Logistics,2026-05-10,pressure,pipeline repair,pressure,MEDIUM,Burst disc; Pressure gauge,en,true,synthetic
SYN-0058,Rigger attached sling to unsecured load on elevated platform. No tagline was used. Wind speed exceeded crane operation limits.,unsafe_condition,Dibrugarh Terminal,Pipeline,2024-12-09,chemical,confined space entry,chemical,HIGH,Respiratory protection; Ventilation system,en,true,synthetic
SYN-0059,Technician entered pump station without gas monitoring. H2S alarm was disabled for maintenance. No standby person was present outside the confined space.,unsafe_condition,Jorhat Pump Station,HSE,2025-02-21,mechanical,confined space entry,mechanical,HIGH,Safe work procedure; Energy isolation,en,true,synthetic
SYN-0060,Worker climbed storage tank without secured ladder. Handrails were missing on upper platform. No safety harness was available on site.,near_miss,Selenghat Station,Engineering,2024-01-21,procedures,well testing,procedures,HIGH,Training certification; Job safety analysis,en,true,synthetic
SYN-0061,Pipeline welder worked on live pipeline without isolating flow. No hot work permit was obtained. Fire extinguisher was 50 meters away and empty.,near_miss,Nazira Oil Field,Engineering,2026-02-04,confined_space,turnaround maintenance,confined_space,HIGH,Isolation procedure; Confined space permit,en,true,synthetic
SYN-0062,Technician entered pump station without gas monitoring. H2S alarm was disabled for maintenance. No standby person was present outside the confined space.,unsafe_condition,Selenghat Station,Drilling,2025-11-15,confined_space,working at height,confined_space,HIGH,Isolation procedure; Confined space permit,en,true,synthetic
SYN-0063,Worker reported near-miss: wrench slipped from height but hit empty area. Tool tethering requirement was reinforced in toolbox talk.,near_miss,Margherita Depot,Drilling,2025-07-31,confined_space,drilling,confined_space,LOW,Gas testing; Rescue plan,en,true,synthetic
SYN-0064,Temporary lighting in work area was insufficient. Dark spots near excavation edge. No reflective markers were placed.,unsafe_condition,Selenghat Station,Maintenance,2025-01-23,electrical,confined space entry,electrical,MEDIUM,Arc flash PPE; Insulated tools,en,true,synthetic
SYN-0065,Worker handled corrosive chemicals with standard gloves instead of chemical-resistant gloves. Material Safety Data Sheet was not consulted.,unsafe_condition,Selenghat Station,Pipeline,2026-05-04,confined_space,welding,confined_space,MEDIUM,Confined space permit; Gas testing,en,true,synthetic
SYN-0066,Worker noticed and reported a small oil spill near storage tank. Containment berms were in place. Area was cleaned within 15 minutes.,near_miss,Nazira Oil Field,HSE,2024-02-11,mechanical,drilling,mechanical,LOW,Energy isolation; Machine guarding,en,true,synthetic
SYN-0067,Worker reported near-miss: wrench slipped from height but hit empty area. Tool tethering requirement was reinforced in toolbox talk.,unsafe_condition,Jorhat Pump Station,HSE,2025-11-16,gravity,welding,gravity,LOW,Guard rails; Controlled access zone,en,true,synthetic
SYN-0068,Worker observed incomplete barricade around trench. Additional cones were placed. Competent person verified soil conditions were stable.,near_miss,Nazira Oil Field,Maintenance,2026-02-04,procedures,welding,procedures,LOW,Job safety analysis; Training certification,en,true,synthetic
SYN-0069,Worker entered confined space without proper gas testing and without isolation. No permit to work was obtained. The space had not been ventilated and no rescue equipment was on standby.,near_miss,Nazira Oil Field,Engineering,2024-07-22,confined_space,welding,confined_space,HIGH,Isolation procedure; Gas testing,en,true,synthetic
SYN-0070,Fire extinguisher showed pressure in yellow zone during monthly inspection. Unit was replaced from backup stock. Tag was updated.,unsafe_act,Margherita Depot,Production,2024-12-21,procedures,turnaround maintenance,procedures,LOW,Training certification; Supervision,en,true,synthetic
SYN-0071,Worker used compressed air to clean clothing instead of proper cleaning method. Air pressure exceeded 30 PSI limit for cleaning.,unsafe_condition,Nazira Oil Field,Drilling,2024-04-18,confined_space,working at height,confined_space,MEDIUM,Rescue plan; Confined space permit,en,true,synthetic
SYN-0072,Operator noticed unusual vibration in pump during startup. Equipment was shut down per procedure. Maintenance team inspected and cleared.,near_miss,Jorhat Pump Station,Engineering,2025-06-18,gravity,pipeline repair,gravity,LOW,Controlled access zone; Guard rails,en,true,synthetic
SYN-0073,Mobile equipment reversed without spotter in congested area. Backup alarm was intermittent. Mirror coverage was incomplete.,unsafe_act,Margherita Depot,Pipeline,2026-04-30,fire,welding,fire,MEDIUM,Fire extinguisher; Fire watch,en,true,synthetic
SYN-0074,Rigger attached sling to unsecured load on elevated platform. No tagline was used. Wind speed exceeded crane operation limits.,unsafe_act,Margherita Depot,Engineering,2025-05-21,fire,confined space entry,fire,HIGH,Fire watch; Gas-free certificate,en,true,synthetic
SYN-0075,Crane operator lifted personnel in unauthorized basket. Basket was not inspected and had no fall protection. Load path crossed over active roadway.,near_miss,Nazira Oil Field,Well Services,2025-12-19,pressure,pipeline repair,pressure,HIGH,Pressure relief valve; Pressure gauge,en,true,synthetic
SYN-0076,Safety sign was found faded at entrance to hazardous area. Worker reported to supervisor. New sign was ordered same day.,near_miss,Jorhat Pump Station,Engineering,2026-02-15,loto,electrical work,loto,LOW,Group lockout box; Energy isolation verification,en,true,synthetic
SYN-0077,Operator noticed unusual vibration in pump during startup. Equipment was shut down per procedure. Maintenance team inspected and cleared.,unsafe_act,Dibrugarh Terminal,Production,2025-02-18,pressure,electrical work,pressure,LOW,Pressure gauge; Burst disc,en,true,synthetic
SYN-0078,Crane was operated with 15 percent load capacity margin exceeded for brief period. Operator corrected immediately after warning from signalman.,near_miss,Margherita Depot,Well Services,2025-07-17,confined_space,confined space entry,confined_space,MEDIUM,Rescue plan; Confined space permit,en,true,synthetic
SYN-0079,Pipeline crew dug excavation near buried cable without calling utility locating service. Warning tape was found 0.5 meters from dig point.,near_miss,Nazira Oil Field,HSE,2024-07-16,mechanical,confined space entry,mechanical,MEDIUM,Machine guarding; Lockout devices,en,true,synthetic
SYN-0080,Worker handled corrosive chemicals with standard gloves instead of chemical-resistant gloves. Material Safety Data Sheet was not consulted.,near_miss,Jorhat Pump Station,HSE,2025-05-10,chemical,pipeline repair,chemical,MEDIUM,Spill kit; Respiratory protection,en,true,synthetic
SYN-0081,Fire extinguisher showed pressure in yellow zone during monthly inspection. Unit was replaced from backup stock. Tag was updated.,unsafe_condition,Jorhat Pump Station,Well Services,2024-01-15,gravity,turnaround maintenance,gravity,LOW,Guard rails; Controlled access zone,en,true,synthetic
SYN-0082,Worker entered confined space without proper gas testing and without isolation. No permit to work was obtained. The space had not been ventilated and no rescue equipment was on standby.,near_miss,Margherita Depot,Pipeline,2026-06-08,gravity,excavation,gravity,HIGH,Fall protection harness; Controlled access zone,en,true,synthetic
SYN-0083,Crane was operated with 15 percent load capacity margin exceeded for brief period. Operator corrected immediately after warning from signalman.,unsafe_act,Selenghat Station,Logistics,2024-02-22,fire,pipeline repair,fire,MEDIUM,Gas-free certificate; Hot work permit,en,true,synthetic
SYN-0084,Small amount of debris fell from scaffold during dismantle operation. Area was cordoned and debris was cleared. No one was in zone.,near_miss,Selenghat Station,Production,2025-12-03,procedures,drilling,procedures,LOW,Job safety analysis; Work permit,en,true,synthetic
SYN-0085,Fire extinguisher showed pressure in yellow zone during monthly inspection. Unit was replaced from backup stock. Tag was updated.,near_miss,Dibrugarh Terminal,HSE,2026-02-21,mechanical,working at height,mechanical,LOW,Energy isolation; Lockout devices,en,true,synthetic
SYN-0086,Vehicle entered pedestrian walkway without stopping at designated crossing. Speed bumps were painted but not physical.,unsafe_condition,Selenghat Station,Pipeline,2024-11-08,procedures,well testing,procedures,MEDIUM,Work permit; Supervision,en,true,synthetic
SYN-0087,Safety sign was found faded at entrance to hazardous area. Worker reported to supervisor. New sign was ordered same day.,near_miss,Jorhat Pump Station,HSE,2024-03-24,pressure,lifting,pressure,LOW,Depressurization procedure; Pressure relief valve,en,true,synthetic
SYN-0088,Forklift was operated with cracked windshield. Operator did not wear seatbelt. Speed limit in warehouse area was exceeded by 5 km/h.,near_miss,Dibrugarh Terminal,Engineering,2025-08-31,loto,excavation,loto,MEDIUM,Energy isolation verification; Lockout/tagout devices,en,true,synthetic
SYN-0089,Worker performed hot work on fuel storage tank without gas-free certificate. Flammable vapors were detected 2 hours before work started.,near_miss,Nazira Oil Field,Logistics,2024-08-27,mechanical,pipeline repair,mechanical,HIGH,Energy isolation; Safe work procedure,en,true,synthetic
SYN-0090,Foreman ordered crane lift over personnel without designated signalman. Load was 2 tons above rated capacity. Outrigger pads were not placed on stable ground.,unsafe_act,Jorhat Pump Station,Pipeline,2024-03-02,gravity,lifting,gravity,HIGH,Safety net; Controlled access zone,en,true,synthetic
SYN-0091,Worker reported near-miss: wrench slipped from height but hit empty area. Tool tethering requirement was reinforced in toolbox talk.,unsafe_condition,Nazira Oil Field,Logistics,2025-12-06,mechanical,pipeline repair,mechanical,LOW,Safe work procedure; Energy isolation,en,true,synthetic
SYN-0092,Crane was operated with 15 percent load capacity margin exceeded for brief period. Operator corrected immediately after warning from signalman.,unsafe_act,Selenghat Station,Production,2026-06-29,procedures,working at height,procedures,MEDIUM,Supervision; Training certification,en,true,synthetic
SYN-0093,Scaffolding was erected without final inspection tag. Worker accessed scaffold before green tag was applied. Toe boards were missing on one side.,near_miss,Jorhat Pump Station,Drilling,2024-02-11,pressure,lifting,pressure,MEDIUM,Burst disc; Pressure gauge,en,true,synthetic
SYN-0094,Calibration sticker on gas detector was expiring in 2 days. Detector was removed from service and sent for calibration.,unsafe_condition,Nazira Oil Field,Maintenance,2025-10-12,procedures,excavation,procedures,LOW,Work permit; Job safety analysis,en,true,synthetic
SYN-0095,Welder used damaged electrode holder. Insulation was cracked and exposed live parts. Earth lead was corroded and loosely connected.,unsafe_condition,Nazira Oil Field,Production,2025-02-25,gravity,excavation,gravity,MEDIUM,Safety net; Controlled access zone,en,true,synthetic
SYN-0096,Daily pre-shift briefing was not documented for one crew. Supervisor completed retroactive documentation. Template was updated.,unsafe_act,Margherita Depot,Drilling,2024-11-18,loto,pipeline repair,loto,LOW,Energy isolation verification; Lockout/tagout devices,en,true,synthetic
SYN-0097,Small amount of debris fell from scaffold during dismantle operation. Area was cordoned and debris was cleared. No one was in zone.,unsafe_condition,Margherita Depot,Drilling,2025-02-27,ppe,drilling,ppe,LOW,Safety glasses; High-visibility vest,en,true,synthetic
SYN-0098,Worker handled corrosive chemicals with standard gloves instead of chemical-resistant gloves. Material Safety Data Sheet was not consulted.,unsafe_act,Selenghat Station,Logistics,2024-09-30,electrical,turnaround maintenance,electrical,MEDIUM,Arc flash PPE; Insulated tools,en,true,synthetic
SYN-0099,Mobile equipment reversed without spotter in congested area. Backup alarm was intermittent. Mirror coverage was incomplete.,near_miss,Selenghat Station,Production,2025-09-15,electrical,electrical work,electrical,MEDIUM,Arc flash PPE; Insulated tools,en,true,synthetic
SYN-0100,Worker used compressed air to clean clothing instead of proper cleaning method. Air pressure exceeded 30 PSI limit for cleaning.,unsafe_act,Selenghat Station,Production,2025-04-17,chemical,welding,chemical,MEDIUM,Chemical goggles; Ventilation system,en,true,synthetic
SYN-0101,Fire extinguisher showed pressure in yellow zone during monthly inspection. Unit was replaced from backup stock. Tag was updated.,unsafe_condition,Margherita Depot,Pipeline,2025-04-28,confined_space,electrical work,confined_space,LOW,Confined space permit; Rescue plan,en,true,synthetic
SYN-0102,Foreman ordered crane lift over personnel without designated signalman. Load was 2 tons above rated capacity. Outrigger pads were not placed on stable ground.,unsafe_condition,Margherita Depot,Maintenance,2026-03-02,mechanical,working at height,mechanical,HIGH,Lockout devices; Safe work procedure,en,true,synthetic
SYN-0103,Worker forgot to wear safety glasses while chipping near rotating equipment. Chip guard was not in place. Supervisor observed from 10 meters away.,near_miss,Nazira Oil Field,Pipeline,2025-11-06,procedures,excavation,procedures,MEDIUM,Job safety analysis; Training certification,en,true,synthetic
SYN-0104,Welder used damaged electrode holder. Insulation was cracked and exposed live parts. Earth lead was corroded and loosely connected.,unsafe_condition,Nazira Oil Field,Engineering,2026-06-09,loto,electrical work,loto,MEDIUM,LOTO procedure; Energy isolation verification,en,true,synthetic
SYN-0105,Temporary lighting in work area was insufficient. Dark spots near excavation edge. No reflective markers were placed.,near_miss,Selenghat Station,Drilling,2025-04-29,fire,working at height,fire,MEDIUM,Gas-free certificate; Fire extinguisher,en,true,synthetic
SYN-0106,Safety meeting noted that two workers were not wearing high-visibility vests. Workers corrected immediately. Trend to be monitored.,unsafe_act,Jorhat Pump Station,Logistics,2025-05-29,electrical,well testing,electrical,LOW,Energized work permit; LOTO procedure,en,true,synthetic
SYN-0107,Operator noticed unusual vibration in pump during startup. Equipment was shut down per procedure. Maintenance team inspected and cleared.,near_miss,Dibrugarh Terminal,Logistics,2024-05-27,electrical,working at height,electrical,LOW,Arc flash PPE; LOTO procedure,en,true,synthetic
SYN-0108,Pipeline crew dug excavation near buried cable without calling utility locating service. Warning tape was found 0.5 meters from dig point.,unsafe_condition,Nazira Oil Field,Engineering,2026-05-22,mechanical,turnaround maintenance,mechanical,MEDIUM,Safe work procedure; Energy isolation,en,true,synthetic
SYN-0109,Calibration sticker on gas detector was expiring in 2 days. Detector was removed from service and sent for calibration.,unsafe_act,Selenghat Station,Drilling,2024-08-28,procedures,pipeline repair,procedures,LOW,Job safety analysis; Supervision,en,true,synthetic
SYN-0110,Driller climbed derrick without fall arrest harness. Safety line was frayed and not inspected. Worker was at 15 meters height during strong wind conditions.,near_miss,Dibrugarh Terminal,Logistics,2024-11-02,gravity,drilling,gravity,HIGH,Fall protection harness; Guard rails,en,true,synthetic
SYN-0111,Fire extinguisher showed pressure in yellow zone during monthly inspection. Unit was replaced from backup stock. Tag was updated.,unsafe_act,Nazira Oil Field,Well Services,2024-09-07,confined_space,turnaround maintenance,confined_space,LOW,Confined space permit; Rescue plan,en,true,synthetic
SYN-0112,Minor first aid case: worker sustained small cut while opening package. Bandage was applied from first aid kit. No lost time.,near_miss,Jorhat Pump Station,Maintenance,2026-06-10,mechanical,working at height,mechanical,LOW,Energy isolation; Safe work procedure,en,true,synthetic
